SamAccountName,password,path,GivenName,Surname,Initials,Name,DisplayName,UserPrincipalName,Department,Description,Office,OfficePhone,EmailAddress,StreetAddress,POBox ,City,State,PostalCode,Title,Company
Arnold,Support@123#,"OU=Sales,DC=resumetojob,DC=com",Arnold,A,B,Arnold,Arnold,arnold@resumetojob.com,Sales,Remote Work,Mind Space,541-213-5441,arnold@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Agent,resumetojob
Beiber,Support@123#,"OU=Sales,DC=resumetojob,DC=com",Beiber,B,J,Beiber,Beiber,b22@resumetojob.com,Sales,Remote Work,Mind Space,541-213-5442,beiber@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Trainee,resumetojob
Cathy,Support@123#,"OU=Dev,DC=resumetojob,DC=com",Cathy,C,J,Cathy,Cathy,cathy@resumetojob.com,Dev,Remote Work,Mind Space,541-213-5443,cathy@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Java Dev,resumetojob
Darrel,Support@123#,"OU=Dev,DC=resumetojob,DC=com",Darrel,D,J,Darrel,Darrel,darrel@resumetojob.com,Dev,Office Work,Mind Space,541-213-5444,darrel@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Nodejs Dev,resumetojob
Eric,Support@123#,"OU=Accounts,DC=resumetojob,DC=com",Eric,E,J,Eric,Eric,eric@resumetojob.com,Accounts,Remote Work,Mind Space,541-213-5445,eric@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,resumetojob
Falcon,Support@123#,"OU=Accounts,DC=resumetojob,DC=com",Falcon,F,J,Falcon,Falcon,falcon@resumetojob.com,Accounts,Remote Work,Mind Space,541-213-5446,falcon@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,resumetojob
Linda,Support@123#,"OU=IT,DC=resumetojob,DC=com",Linda,G,J,Linda,Linda,Linda@resumetojob.com,IT,Office Work,Mind Space,541-213-5447,Linda@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Senior Admin,resumetojob
Henry,Support@123#,"OU=IT,DC=resumetojob,DC=com",Henry,H,J,Henry,Henry,h33@resumetojob.com,IT,Remote Work,Mind Space,541-213-5448,henry@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Network admin,resumetojob
Indy,Support@123#,"OU=Dev,DC=resumetojob,DC=com",Indy,I,J,Indy,Indy,i66@resumetojob.com,Dev,Remote Work,Mind Space,541-213-5449,indy@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Oracle Dev,resumetojob
Jacob,Support@123#,"OU=Dev,DC=resumetojob,DC=com",Jacob,J,J,Jacob,Jacob,j88@resumetojob.com,Dev,Remote Work,Mind Space,541-213-5450,jacob@resumetojob.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,HTMl Dev,resumetojob
