SamAccountName,password,path,GivenName,Surname,Initials,Name,DisplayName,UserPrincipalName,Department,Description,Office,OfficePhone,EmailAddress,StreetAddress,POBox ,City,State,PostalCode,Title,Company
Arnold,Support@123#,"OU=Sales,DC=shouritech,DC=in",Arnold,A,B,Arnold,Arnold,arnold@shouritech.com,Sales,Remote Work,Mind Space,541-213-5441,arnold@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Agent,Shouritech
Beiber,Support@123#,"OU=Sales,DC=shouritech,DC=in",Beiber,B,J,Beiber,Beiber,b22@shouritech.com,Sales,Remote Work,Mind Space,541-213-5442,beiber@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Sales Trainee,Shouritech
Cathy,Support@123#,"OU=Dev,DC=shouritech,DC=in",Cathy,C,J,Cathy,Cathy,cathy@shouritech.com,Dev,Remote Work,Mind Space,541-213-5443,cathy@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Java Dev,Shouritech
Darrel,Support@123#,"OU=Dev,DC=shouritech,DC=in",Darrel,D,J,Darrel,Darrel,darrel@shouritech.com,Dev,Office Work,Mind Space,541-213-5444,darrel@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Nodejs Dev,Shouritech
Eric,Support@123#,"OU=Accounts,DC=shouritech,DC=in",Eric,E,J,Eric,Eric,eric@shouritech.com,Accounts,Remote Work,Mind Space,541-213-5445,eric@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Shouritech
Falcon,Support@123#,"OU=Accounts,DC=shouritech,DC=in",Falcon,F,J,Falcon,Falcon,falcon@shouritech.com,Accounts,Remote Work,Mind Space,541-213-5446,falcon@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Jr Accountant,Shouritech
Linda,Support@123#,"OU=IT,DC=shouritech,DC=in",Linda,G,J,Linda,Linda,Linda@shouritech.com,IT,Office Work,Mind Space,541-213-5447,Linda@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Senior Admin,Shouritech
Henry,Support@123#,"OU=IT,DC=shouritech,DC=in",Henry,H,J,Henry,Henry,h33@shouritech.com,IT,Remote Work,Mind Space,541-213-5448,henry@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Network admin,Shouritech
Indy,Support@123#,"OU=Dev,DC=shouritech,DC=in",Indy,I,J,Indy,Indy,i66@shouritech.com,Dev,Remote Work,Mind Space,541-213-5449,indy@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,Oracle Dev,Shouritech
Jacob,Support@123#,"OU=Dev,DC=shouritech,DC=in",Jacob,J,J,Jacob,Jacob,j88@shouritech.com,Dev,Remote Work,Mind Space,541-213-5450,jacob@shouritech.com,2959 Lucerne Drive SE Suite 150,,Grand Rapids,MI,59501,HTMl Dev,Shouritech
